nIdPessoa;data_referencia
373970;2023-04-19
363266;2022-10-11
148246;2018-07-04
313854;2021-11-03
359315;2022-08-03
328450;2022-04-05
292000;2021-05-18
242785;2020-11-11
216367;2020-11-11
169656;2022-03-03
321607;2022-10-06
332551;2022-06-03
57570;2016-04-02
232798;2019-12-17
198683;2021-03-16
127528;2019-09-11
65618;2019-04-16
217260;2021-04-06
201357;2019-01-01
399709;2023-06-14
385527;2023-04-21
293480;2021-11-03
201066;2023-01-05
277219;2020-10-10
181566;2018-05-03
385664;2023-11-03
139527;2017-02-03
237022;2023-05-12
243172;2020-03-17
281448;2020-12-11
359389;2023-04-06
99279;2016-03-16
284914;2021-06-03
321543;2021-12-21
88366;2016-02-02
300589;2021-06-29
233535;2019-11-03
270557;2021-09-17
38398;2015-11-13
255597;2020-06-13
281805;2022-05-19
298932;2022-05-10
140368;2017-04-04
304512;2021-10-26
181396;2020-02-04
64040;2023-03-07
322728;2023-03-03
346350;2022-06-07
408853;2023-09-20
301074;2021-05-29
126881;2016-10-06
357950;2022-12-01
312897;2022-09-02
181765;2018-05-08
70366;2018-08-07
392041;2023-10-06
314627;2022-01-01
271058;2021-10-06
266531;2020-07-07
143431;2017-04-04
347038;2023-08-15
226987;2021-10-06
375886;2023-01-10
171575;2017-12-01
177378;2021-08-06
234681;2020-05-13
92815;2015-11-18
249509;2022-05-12
298765;2023-05-11
387485;2023-04-02
124114;2018-11-06
364686;2023-01-04
188113;2019-05-11
391407;2023-04-05
1122;2017-04-15
89628;2021-05-26
138184;2017-05-16
143462;2017-02-01
288548;2022-12-20
383070;2023-11-03
292654;2022-10-20
189150;2019-01-05
258924;2020-06-17
103311;2022-05-24
164919;2017-10-20
363515;2022-10-04
297695;2022-03-23
389414;2023-04-25
389381;2023-04-11
171014;2017-12-09
151972;2021-07-20
32122;2017-12-13
383715;2023-06-10
307583;2021-11-03
82819;2016-09-20
159796;2017-10-10
45429;2016-02-05
54689;2016-06-15
230522;2020-03-04
302758;2021-08-07
387689;2023-06-03
347113;2022-07-12
191624;2019-11-05
201962;2019-02-03
231403;2019-12-04
182381;2020-08-07
181050;2018-05-03
97074;2017-06-15
152675;2017-07-21
202528;2020-04-02
335829;2023-03-03
355851;2022-09-13
112169;2016-04-16
148824;2019-02-01
262489;2021-08-25
261563;2020-05-15
344000;2023-08-18
35898;2018-04-04
373412;2023-01-10
215376;2020-02-04
38381;2019-07-03
411312;2023-09-07
364225;2022-12-21
25784;2016-09-10
254359;2020-05-20
188753;2021-06-18
313435;2021-07-21
294735;2021-06-23
397047;2023-06-20
118154;2019-01-09
71857;2016-06-08
330639;2022-07-21
102835;2016-10-13
147824;2018-05-03
150477;2021-12-16
258764;2023-05-13
267338;2020-08-21
219450;2019-05-18
173920;2018-01-09
254046;2020-07-03
168104;2018-11-06
143116;2021-04-02
175955;2019-02-04
220736;2021-07-13
102194;2016-02-02
237763;2020-02-13
284392;2021-09-02
19856;2016-04-02
147159;2017-09-19
261556;2020-08-15
359706;2023-05-03
30419;2021-04-28
177356;2018-02-01
242527;2020-07-03
159611;2023-04-05
112587;2020-01-10
167970;2018-08-21
87339;2020-01-07
134706;2016-11-10
316230;2022-06-14
284706;2021-02-02
258930;2020-06-17
56009;2023-04-15
82817;2016-01-02
141336;2020-04-14
197549;2019-03-07
94405;2019-03-12
122508;2017-12-12
140831;2023-02-09
359716;2022-11-03
284899;2021-02-04
87648;2016-03-08
48751;2019-06-04
197545;2022-08-21
352022;2023-10-17
157881;2021-07-06
271645;2022-01-14
213501;2022-03-04
102394;2016-02-05
187994;2020-01-08
275897;2020-11-21
392306;2023-06-08
88862;2017-02-12
54958;2016-11-09
355792;2023-05-24
312936;2022-02-01
351210;2022-08-18
205638;2019-03-03
297351;2021-06-06
91075;2015-10-17
321455;2021-12-10
260958;2020-10-09
352751;2022-09-02
27217;2017-11-16
392525;2023-10-14
296731;2021-04-06
170943;2019-02-06
13929;2017-08-12
165847;2018-10-04
54167;2023-06-03
4151;2017-08-24
206658;2019-05-07
306872;2022-10-04
104315;2023-05-06
6459;2019-01-02
8220;2017-06-06
356031;2022-11-09
139710;2018-05-17
61107;2016-08-06
326295;2021-10-19
205656;2019-04-03
282357;2021-02-02
214393;2020-08-05
113330;2016-04-14
42701;2015-10-17
222193;2022-01-04
243568;2020-08-05
330652;2022-02-01
232796;2020-06-11
10992;2020-04-14
352176;2022-11-03
332416;2022-02-01
139645;2021-10-26
325949;2023-07-04
292913;2021-05-04
274213;2022-10-25
106696;2016-05-03
282022;2021-09-05
336252;2022-04-19
223195;2021-04-02
237825;2023-10-24
225260;2023-09-02
318721;2022-03-15
20276;2018-10-17
143316;2021-11-12
107210;2016-05-06
364193;2022-11-08
178840;2018-06-19
278667;2021-12-24
238619;2021-04-02
188580;2019-12-03
207291;2020-06-23
167735;2017-11-22
358987;2022-10-16
405364;2023-06-17
195864;2019-01-02
179121;2020-04-02
258564;2020-06-16
146785;2018-06-21
248027;2020-07-07
201848;2020-04-02
50773;2015-10-16
324328;2022-01-04
301624;2023-05-03
355565;2023-05-04
1821;2016-03-10
351235;2022-08-16
312524;2022-05-03
159717;2017-10-17
71637;2015-11-17
299979;2021-09-02
102981;2015-12-02
188740;2020-08-13
180442;2018-09-18
25232;2015-10-10
79687;2015-10-07
127020;2019-11-06
197797;2021-09-17
234593;2020-01-05
310421;2021-07-03
88649;2021-11-23
317762;2021-11-10
3876;2016-07-21
258925;2021-06-16
170785;2019-12-10
61531;2016-12-10
101626;2021-08-06
131494;2017-10-05
111087;2016-08-11
274560;2021-06-03
231376;2020-02-06
212327;2019-12-06
79738;2017-11-07
356894;2022-09-20
202438;2020-12-01
300388;2021-08-25
168188;2020-10-16
162827;2020-12-12
245098;2020-05-19
171867;2018-02-19
299000;2022-02-09
162629;2017-11-15
279512;2021-02-05
13812;2018-01-12
240364;2020-01-16
151793;2017-11-03
315387;2022-05-20
190049;2018-09-04
110161;2022-10-05
35161;2016-12-10
100620;2016-10-15
185042;2019-06-01
63910;2016-02-18
109735;2021-09-17
353839;2022-10-04
40694;2018-04-11
314142;2022-03-03
62964;2017-06-14
66527;2018-12-05
178605;2019-05-03
241402;2020-05-21
285537;2021-03-23
39377;2016-07-12
213822;2019-07-03
404422;2023-09-02
355442;2023-09-02
183578;2021-03-04
323721;2023-06-18
303178;2021-10-05
134675;2016-12-01
396730;2023-08-25
351936;2022-06-03
330324;2023-03-11
198395;2018-12-04
257781;2020-05-21
11286;2021-12-03
277547;2022-06-08
280362;2023-07-04
214207;2022-02-15
41525;2017-04-15
319772;2021-10-05
80655;2023-09-12
130701;2016-08-19
164542;2023-03-18
316018;2021-10-07
151846;2022-01-01
189013;2020-04-11
132518;2016-12-08
262391;2021-06-10
14864;2017-06-06
79774;2016-12-08
209870;2022-05-17
21760;2020-04-02
175424;2018-02-14
45416;2015-12-15
304084;2021-08-03
335016;2022-02-01
146045;2017-04-18
112732;2016-05-03
234449;2019-12-10
69669;2016-06-10
232365;2022-12-06
130575;2016-10-07
282972;2021-10-13
197009;2019-12-03
368996;2023-05-24
351745;2022-09-06
385376;2023-03-24
215619;2021-12-01
209151;2020-11-05
192714;2021-03-09
272139;2020-09-02
160916;2018-07-20
119270;2016-05-03
194827;2018-10-04
190863;2018-08-07
155356;2019-10-05
251767;2022-09-06
218473;2021-11-10
245106;2020-10-14
249584;2020-05-06
259737;2021-11-03
321204;2021-10-15
270056;2020-11-03
271957;2021-10-06
225628;2019-09-11
228467;2019-11-03
54057;2016-06-08
281051;2020-12-01
25088;2022-02-17
61729;2023-08-08
15174;2019-01-08
70636;2018-06-07
312199;2021-08-05
329807;2023-03-03
395545;2023-05-03
102766;2016-11-03
106971;2016-02-18
42084;2015-11-20
45214;2022-06-22
223568;2019-12-03
214308;2021-08-18
320409;2022-02-01
50707;2016-10-13
149044;2017-10-21
263929;2022-09-20
131338;2017-02-17
314389;2021-09-22
156204;2020-01-02
269486;2020-11-14
22105;2015-11-12
46520;2015-10-06
220160;2019-11-07
27783;2018-10-09
315693;2023-04-11
313126;2021-12-01
259179;2020-08-23
135368;2017-03-04
304962;2021-07-17
190196;2019-06-04
138566;2020-12-16
281038;2022-02-15
340840;2022-04-21
256971;2020-05-13
189461;2018-06-21
180936;2018-07-24
351170;2022-10-04
147899;2018-04-03
212202;2020-12-01
341632;2023-09-07
206704;2019-04-23
242446;2020-11-03
270439;2021-01-13
181195;2019-06-22
371265;2023-10-05
308739;2023-01-03
211538;2019-05-12
299745;2021-06-13
207369;2020-11-07
139592;2016-12-14
136563;2016-12-18
324852;2022-05-17
322678;2022-10-07
389649;2023-05-24
90163;2019-03-05
130492;2016-10-09
305816;2022-11-15
97201;2016-04-19
332730;2022-07-05
347089;2022-11-03
72284;2021-06-03
131987;2017-12-01
208341;2019-10-08
376307;2023-02-17
328012;2022-06-03
273871;2021-08-18
56303;2018-01-02
260199;2020-07-23
88895;2021-05-18
105193;2018-09-05
261140;2022-11-03
162498;2018-11-06
287896;2021-05-13
195371;2021-10-14
284105;2021-01-13
110045;2018-04-03
147080;2021-08-19
313215;2022-09-02
82695;2020-06-23
145416;2018-08-15
265;2021-12-21
321528;2021-12-01
68536;2016-12-01
51962;2017-06-06
367561;2023-05-03
207457;2020-08-11
252641;2020-11-18
208288;2020-10-22
264567;2021-06-03
258667;2021-07-03
202231;2023-03-03
127700;2019-02-19
305715;2021-07-17
94194;2015-10-21
176875;2018-03-03
374857;2023-02-08
364678;2023-05-04
389407;2023-07-13
265263;2020-07-16
135525;2017-11-09
314391;2021-08-10
152878;2017-07-04
312371;2021-09-07
204221;2019-12-21
94101;2021-11-13
174478;2019-12-05
286114;2022-02-09
199597;2020-06-04
356872;2022-08-03
32789;2016-12-01
169510;2023-06-03
346512;2022-05-17
